game_id,club_id,hosting,opponent_goals,own_goals
25262101,1301.0,Home,1.0,1.0
25262341,294.0,Home,0.0,0.0
25262411,2995.0,Home,2.0,2.0
25262501,2990.0,Home,1.0,1.0
25262531,1075.0,Home,3.0,1.0
25262621,68608.0,Home,1.0,1.0
25279731,621.0,Home,0.0,1.0
25279821,128.0,Home,1.0,1.0
25279851,441.0,Home,1.0,1.0
25281441,631.0,Home,4.0,2.0
25296391,511.0,Home,1.0,1.0
25307931,1184.0,Home,0.0,2.0
25307971,3508.0,Home,3.0,1.0
25309561,202.0,Home,0.0,3.0
25311391,338.0,Home,1.0,3.0
25311431,29.0,Home,1.0,3.0
25323611,3057.0,Home,0.0,3.0
25323841,354.0,Home,1.0,2.0
25324481,2778.0,Home,3.0,0.0
25324511,190.0,Home,0.0,2.0
25324601,2778.0,Home,0.0,4.0
25325291,1177.0,Home,2.0,0.0
25340151,3001.0,Home,1.0,0.0
25372091,2410.0,Home,0.0,4.0
25389601,6195.0,Home,1.0,3.0
25470441,683.0,Home,1.0,1.0
25473871,430.0,Home,0.0,2.0
25500361,121.0,Home,2.0,2.0
